Invoice,InvoiceDate,ID,Total
489434,2009-12-01,13085.0,505.3
489435,2009-12-01,13085.0,145.79999999999998
489436,2009-12-01,13078.0,630.33
489437,2009-12-01,15362.0,310.75
489438,2009-12-01,18102.0,2286.24
489439,2009-12-01,12682.0,372.3
489440,2009-12-01,18087.0,50.4
489441,2009-12-01,18087.0,344.34000000000003
489442,2009-12-01,13635.0,382.37
489443,2009-12-01,14110.0,285.06
489445,2009-12-01,17519.0,308.44
489446,2009-12-01,13758.0,996.1
489448,2009-12-01,15413.0,570.24
489450,2009-12-01,16321.0,196.10000000000002
489460,2009-12-01,16167.0,485.79
489461,2009-12-01,17865.0,589.33
489462,2009-12-01,17592.0,148.3
489465,2009-12-01,13767.0,1197.8
489488,2009-12-01,17238.0,251.1
489505,2009-12-01,15712.0,255.5
489514,2009-12-01,15311.0,823.02
489517,2009-12-01,16329.0,282.46
489519,2009-12-01,17700.0,696.73
489520,2009-12-01,14911.0,733.63
489522,2009-12-01,15998.0,700.31
489523,2009-12-01,12931.0,1160.0
489526,2009-12-01,12533.0,821.92
489529,2009-12-01,17984.0,229.46
489531,2009-12-01,14871.0,145.0
489532,2009-12-01,13394.0,304.53000000000003
489533,2009-12-01,16011.0,192.75
489536,2009-12-01,16393.0,367.41
489537,2009-12-01,14040.0,633.33
489539,2009-12-01,15061.0,2887.14
489540,2009-12-01,12913.0,537.96
489542,2009-12-01,15061.0,387.6
489544,2009-12-01,14341.0,281.82
489545,2009-12-01,17804.0,124.95
489546,2009-12-01,14156.0,584.5
489547,2009-12-01,13599.0,641.45
489550,2009-12-01,14156.0,482.3
489552,2009-12-01,17063.0,278.61
489556,2009-12-01,15719.0,379.65
489557,2009-12-01,12490.0,531.94
489558,2009-12-01,15793.0,291.58000000000004
489559,2009-12-01,17056.0,128.60000000000002
489560,2009-12-01,13526.0,881.18
489561,2009-12-01,14654.0,246.85999999999999
489562,2009-12-01,17998.0,229.6
489564,2009-12-01,13526.0,322.9
489566,2009-12-01,17742.0,218.55
489567,2009-12-01,15326.0,307.8
489569,2009-12-01,14478.0,282.28
489571,2009-12-01,15967.0,156.71
489572,2009-12-01,17611.0,507.49
489573,2009-12-01,15051.0,580.02
489574,2009-12-01,13097.0,551.33
489575,2009-12-01,13590.0,367.28000000000003
489576,2009-12-01,15984.0,319.66
489579,2009-12-01,16887.0,219.82
489580,2009-12-01,12921.0,261.0
489581,2009-12-01,15945.0,124.83
489582,2009-12-01,14543.0,293.95
489584,2009-12-01,18037.0,21.95
489585,2009-12-01,15662.0,105.85
489586,2009-12-01,15380.0,263.42
489590,2009-12-01,13110.0,362.78000000000003
489593,2009-12-01,12836.0,423.87
489594,2009-12-01,15005.0,322.33
489598,2009-12-01,16620.0,822.37
489599,2009-12-01,12758.0,2454.68
489606,2009-12-01,17961.0,2.1
489611,2009-12-01,15601.0,2.95
489613,2009-12-01,13585.0,12.75
489617,2009-12-01,13442.0,198.0
489634,2009-12-01,13381.0,17.4
489635,2009-12-01,16763.0,352.85
489637,2009-12-01,17243.0,535.9
489639,2009-12-01,14865.0,31.200000000000003
489640,2009-12-01,17345.0,329.90999999999997
489641,2009-12-01,13819.0,622.1
489644,2009-12-01,15808.0,896.5400000000001
489645,2009-12-01,17191.0,261.74
489650,2009-12-01,13748.0,173.1
489652,2009-12-01,15265.0,294.14
489654,2009-12-01,15750.0,222.12
489656,2009-12-01,17428.0,1237.3
489657,2009-12-01,17428.0,55.2
489658,2009-12-01,15485.0,828.09
489661,2009-12-01,17246.0,23.48
489662,2009-12-01,15485.0,73.75
489664,2009-12-01,14061.0,374.43
