Invoice,InvoiceDate,ID,Total,Transaction,Freq
489557,2009-12-01,12490.0,531.94,16,15
489526,2009-12-01,12533.0,821.92,2,1
489439,2009-12-01,12682.0,372.3,40,39
489599,2009-12-01,12758.0,2454.68,7,6
489593,2009-12-01,12836.0,423.87,14,13
489540,2009-12-01,12913.0,537.96,11,10
489580,2009-12-01,12921.0,261.0,61,60
489523,2009-12-01,12931.0,1160.0,53,52
489436,2009-12-01,13078.0,630.33,46,45
489434,2009-12-01,13085.0,651.1,8,7
489574,2009-12-01,13097.0,551.33,25,24
489590,2009-12-01,13110.0,362.78000000000003,10,9
489634,2009-12-01,13381.0,17.4,10,9
489532,2009-12-01,13394.0,304.53000000000003,16,15
489617,2009-12-01,13442.0,198.0,3,2
489560,2009-12-01,13526.0,1204.08,2,1
489613,2009-12-01,13585.0,12.75,3,2
489575,2009-12-01,13590.0,367.28000000000003,16,15
489547,2009-12-01,13599.0,641.45,20,19
489442,2009-12-01,13635.0,382.37,3,2
489666,2009-12-01,13648.0,263.09000000000003,8,7
489650,2009-12-01,13748.0,173.1,9,8
489446,2009-12-01,13758.0,996.1,12,11
489465,2009-12-01,13767.0,1197.8,64,63
489641,2009-12-01,13819.0,622.1,6,5
489537,2009-12-01,14040.0,633.33,33,32
489664,2009-12-01,14061.0,374.43,3,2
489665,2009-12-01,14108.0,252.3,3,2
489443,2009-12-01,14110.0,285.06,26,25
489546,2009-12-01,14156.0,1066.8,132,131
489544,2009-12-01,14341.0,281.82,16,15
489569,2009-12-01,14478.0,282.28,4,3
489582,2009-12-01,14543.0,293.95,36,35
489561,2009-12-01,14654.0,246.85999999999999,1,0
489639,2009-12-01,14865.0,31.200000000000003,3,2
489531,2009-12-01,14871.0,145.0,8,7
489520,2009-12-01,14911.0,733.63,287,286
489594,2009-12-01,15005.0,322.33,48,47
489573,2009-12-01,15051.0,580.02,7,6
489539,2009-12-01,15061.0,3274.74,116,115
489652,2009-12-01,15265.0,294.14,4,3
489514,2009-12-01,15311.0,823.02,181,180
489567,2009-12-01,15326.0,307.8,5,4
489437,2009-12-01,15362.0,310.75,2,1
489586,2009-12-01,15380.0,263.42,8,7
489448,2009-12-01,15413.0,570.24,5,4
489658,2009-12-01,15485.0,901.84,6,5
489611,2009-12-01,15601.0,2.95,27,26
489585,2009-12-01,15662.0,105.85,2,1
489505,2009-12-01,15712.0,255.5,10,9
489556,2009-12-01,15719.0,379.65,29,28
489654,2009-12-01,15750.0,222.12,14,13
489558,2009-12-01,15793.0,291.58000000000004,6,5
489644,2009-12-01,15808.0,896.5400000000001,21,20
489581,2009-12-01,15945.0,124.83,4,3
489571,2009-12-01,15967.0,156.71,11,10
489576,2009-12-01,15984.0,319.66,27,26
489522,2009-12-01,15998.0,700.31,14,13
489533,2009-12-01,16011.0,192.75,25,24
489460,2009-12-01,16167.0,485.79,5,4
489450,2009-12-01,16321.0,196.10000000000002,5,4
489517,2009-12-01,16329.0,282.46,4,3
489536,2009-12-01,16393.0,367.41,19,18
489667,2009-12-01,16563.0,538.46,5,4
489598,2009-12-01,16620.0,822.37,5,4
489668,2009-12-01,16701.0,378.12,23,22
489635,2009-12-01,16763.0,352.85,2,1
489579,2009-12-01,16887.0,219.82,2,1
489559,2009-12-01,17056.0,128.60000000000002,1,0
489552,2009-12-01,17063.0,278.61,10,9
489645,2009-12-01,17191.0,261.74,14,13
489488,2009-12-01,17238.0,251.1,26,25
489637,2009-12-01,17243.0,535.9,59,58
489661,2009-12-01,17246.0,23.48,2,1
489640,2009-12-01,17345.0,329.90999999999997,9,8
489656,2009-12-01,17428.0,1292.5,37,36
489445,2009-12-01,17519.0,308.44,14,13
489462,2009-12-01,17592.0,148.3,1,0
489572,2009-12-01,17611.0,507.49,22,21
489519,2009-12-01,17700.0,696.73,13,12
489566,2009-12-01,17742.0,218.55,11,10
489545,2009-12-01,17804.0,124.95,3,2
489461,2009-12-01,17865.0,589.33,38,37
489606,2009-12-01,17961.0,2.1,92,91
489529,2009-12-01,17984.0,229.46,5,4
489562,2009-12-01,17998.0,229.6,3,2
489584,2009-12-01,18037.0,21.95,15,14
489440,2009-12-01,18087.0,394.74,16,15
489438,2009-12-01,18102.0,2286.24,112,111
489831,2009-12-02,12435.0,1008.0,5,4
489883,2009-12-02,12437.0,524.28,31,30
489669,2009-12-02,12842.0,397.2,3,2
489801,2009-12-02,12948.0,128.48000000000002,6,5
489748,2009-12-02,12980.0,754.2,21,20
489877,2009-12-02,13089.0,368.1,177,176
489783,2009-12-02,13269.0,202.83999999999997,21,20
489880,2009-12-02,13313.0,383.89,10,9
489809,2009-12-02,13457.0,112.5,2,1
489788,2009-12-02,13564.0,119.16,36,35
489830,2009-12-02,13623.0,637.04,9,8
489780,2009-12-02,13654.0,159.98000000000002,9,8
489798,2009-12-02,13740.0,311.69,5,4
489675,2009-12-02,13777.0,6150.02,52,51
489677,2009-12-02,14000.0,192.0,5,4
489865,2009-12-02,14080.0,234.87,4,3
489834,2009-12-02,14106.0,214.79999999999998,1,0
489840,2009-12-02,14122.0,89.69999999999999,3,2
489671,2009-12-02,14135.0,740.3,19,18
489822,2009-12-02,14204.0,371.27,3,2
489723,2009-12-02,14299.0,2052.12,23,22
489670,2009-12-02,14302.0,114.60000000000001,3,2
489837,2009-12-02,14396.0,514.97,6,5
489764,2009-12-02,14425.0,223.1,3,2
489795,2009-12-02,14440.0,935.01,10,9
489808,2009-12-02,14467.0,109.84,9,8
489792,2009-12-02,14527.0,923.79,106,105
489832,2009-12-02,14549.0,316.22,4,3
489684,2009-12-02,14560.0,266.59999999999997,37,36
489889,2009-12-02,14646.0,5711.04,116,115
489785,2009-12-02,14653.0,333.67,5,4
489804,2009-12-02,14667.0,251.17,47,46
489814,2009-12-02,14669.0,824.1800000000001,7,6
489819,2009-12-02,14739.0,618.43,22,21
489728,2009-12-02,14799.0,180.45,1,0
489672,2009-12-02,14831.0,833.75,3,2
489888,2009-12-02,14841.0,597.4,12,11
489688,2009-12-02,14894.0,299.70000000000005,2,1
489833,2009-12-02,14980.0,150.68,1,0
489864,2009-12-02,14987.0,206.85,7,6
489835,2009-12-02,15061.0,714.0,116,115
489794,2009-12-02,15287.0,58.2,3,2
489733,2009-12-02,15311.0,168.0,181,180
489765,2009-12-02,15353.0,285.59,7,6
489891,2009-12-02,15482.0,181.08,11,10
489870,2009-12-02,15523.0,897.8,15,14
489787,2009-12-02,15542.0,540.73,3,2
489797,2009-12-02,15581.0,555.28,34,33
489674,2009-12-02,15602.0,261.3,12,11
489872,2009-12-02,15615.0,643.1,43,42
489796,2009-12-02,15680.0,311.5,8,7
489682,2009-12-02,15759.0,125.73,7,6
489868,2009-12-02,15794.0,675.0,2,1
489789,2009-12-02,15833.0,80.4,1,0
489863,2009-12-02,15917.0,106.66999999999999,5,4
489878,2009-12-02,15989.0,143.11,2,1
489816,2009-12-02,16086.0,284.55,9,8
489825,2009-12-02,16126.0,174.1,14,13
489683,2009-12-02,16131.0,1317.97,10,9
489893,2009-12-02,16156.0,300.1,16,15
489679,2009-12-02,16163.0,795.98,6,5
489866,2009-12-02,16200.0,1043.81,11,10
489695,2009-12-02,16202.0,306.95,9,8
489811,2009-12-02,16210.0,634.29,26,25
489818,2009-12-02,16233.0,294.3,8,7
489790,2009-12-02,16467.0,131.12,7,6
489829,2009-12-02,16525.0,472.47,43,42
489743,2009-12-02,16550.0,538.77,18,17
489699,2009-12-02,16700.0,418.7,22,21
489817,2009-12-02,16711.0,340.2,7,6
489824,2009-12-02,16797.0,176.88,5,4
489678,2009-12-02,16823.0,189.29999999999998,7,6
489855,2009-12-02,16987.0,157.91,7,6
489786,2009-12-02,17019.0,216.86,10,9
489687,2009-12-02,17087.0,221.53,1,0
489782,2009-12-02,17189.0,230.46,5,4
489680,2009-12-02,17193.0,45.0,4,3
489805,2009-12-02,17377.0,1052.04,67,66
489827,2009-12-02,17412.0,445.7,13,12
489793,2009-12-02,17476.0,260.36,2,1
489702,2009-12-02,17511.0,3108.64,50,49
489823,2009-12-02,17606.0,87.30000000000001,1,0
489879,2009-12-02,17660.0,163.47,2,1
489894,2009-12-02,17716.0,520.2,20,19
489800,2009-12-02,17768.0,408.07,5,4
489862,2009-12-02,17809.0,734.7,16,15
489766,2009-12-02,17818.0,130.18,1,0
489875,2009-12-02,17841.0,530.76,168,167
489826,2009-12-02,17867.0,85.95,12,11
489815,2009-12-02,17909.0,132.55,1,0
489725,2009-12-02,17949.0,1866.0,104,103
489681,2009-12-02,17998.0,89.59,3,2
489874,2009-12-02,18001.0,176.6,4,3
489810,2009-12-02,18108.0,493.25,3,2
490139,2009-12-03,12577.0,210.55,6,5
489895,2009-12-03,12779.0,371.82,13,12
490009,2009-12-03,12835.0,285.09,41,40
490140,2009-12-03,12872.0,407.22,12,11
489914,2009-12-03,12921.0,993.0,61,60
490119,2009-12-03,12931.0,108.75,53,52
489935,2009-12-03,12934.0,181.65,1,0
490085,2009-12-03,12937.0,170.06,7,6
490093,2009-12-03,12949.0,1794.7,21,20
490100,2009-12-03,13001.0,869.9300000000001,31,30
490112,2009-12-03,13037.0,313.19,12,11
490068,2009-12-03,13085.0,445.7,8,7
490056,2009-12-03,13208.0,61.12,7,6
490046,2009-12-03,13416.0,228.3,1,0
490060,2009-12-03,13468.0,314.22,64,63
490062,2009-12-03,13485.0,165.3,11,10
490080,2009-12-03,13531.0,311.7,6,5
489896,2009-12-03,13611.0,337.93,9,8
489909,2009-12-03,13753.0,642.1999999999999,4,3
490081,2009-12-03,13786.0,723.09,6,5
489905,2009-12-03,13800.0,478.7,3,2
490052,2009-12-03,13895.0,831.0,4,3
489912,2009-12-03,13931.0,1215.7,11,10
489904,2009-12-03,13979.0,203.78,6,5
490005,2009-12-03,13993.0,556.75,16,15
490083,2009-12-03,14031.0,2506.14,38,37
490004,2009-12-03,14051.0,912.5600000000001,30,29
490053,2009-12-03,14057.0,119.54,18,17
490127,2009-12-03,14156.0,569.1800000000001,132,131
490017,2009-12-03,14159.0,393.65,16,15
489932,2009-12-03,14347.0,82.6,1,0
489906,2009-12-03,14483.0,120.0,2,1
490024,2009-12-03,14606.0,215.0,167,166
490101,2009-12-03,14644.0,338.5,6,5
490107,2009-12-03,14662.0,110.7,6,5
490113,2009-12-03,14710.0,39.2,9,8
490137,2009-12-03,14713.0,160.69,19,18
490121,2009-12-03,14750.0,112.03,1,0
490109,2009-12-03,14755.0,445.15,21,20
489900,2009-12-03,14771.0,287.37,2,1
489902,2009-12-03,14838.0,119.10000000000001,2,1
490106,2009-12-03,14898.0,314.37,13,12
490073,2009-12-03,14905.0,258.1,8,7
489907,2009-12-03,14915.0,202.06,11,10
490082,2009-12-03,14952.0,337.9,28,27
490095,2009-12-03,14958.0,186.36,6,5
490070,2009-12-03,14967.0,236.25,5,4
490010,2009-12-03,15061.0,2268.0,116,115
490012,2009-12-03,15179.0,763.35,11,10
489916,2009-12-03,15194.0,336.0,24,23
489897,2009-12-03,15255.0,260.44,8,7
489994,2009-12-03,15291.0,430.9,36,35
490014,2009-12-03,15466.0,744.21,3,2
489910,2009-12-03,15482.0,144.0,11,10
490079,2009-12-03,15550.0,160.35,11,10
490088,2009-12-03,15581.0,62.55,34,33
490087,2009-12-03,15601.0,898.1800000000001,27,26
489998,2009-12-03,15658.0,321.65000000000003,8,7
490008,2009-12-03,15768.0,503.93,34,33
490049,2009-12-03,15794.0,102.0,2,1
490067,2009-12-03,15856.0,952.61,42,41
490128,2009-12-03,15884.0,241.8,2,1
490066,2009-12-03,15953.0,372.2,14,13
490001,2009-12-03,15965.0,169.5,10,9
490135,2009-12-03,16003.0,387.87,8,7
490064,2009-12-03,16139.0,355.59000000000003,4,3
490003,2009-12-03,16159.0,317.55,4,3
490023,2009-12-03,16168.0,189.15,57,56
489908,2009-12-03,16301.0,107.33,1,0
490071,2009-12-03,16497.0,294.85,22,21
490125,2009-12-03,16558.0,297.05,32,31
490092,2009-12-03,16612.0,510.87,8,7
490138,2009-12-03,16722.0,339.78,19,18
490099,2009-12-03,16736.0,1225.98,5,4
490048,2009-12-03,16779.0,1146.71,46,45
490124,2009-12-03,16791.0,319.87,13,12
490011,2009-12-03,16918.0,221.69,13,12
490054,2009-12-03,17017.0,277.5,23,22
489915,2009-12-03,17035.0,54.599999999999994,4,3
490013,2009-12-03,17069.0,500.55,10,9
490000,2009-12-03,17155.0,143.06,6,5
