Transaction,ID,Avr_Spend,Transactions,Freq,Age,Recency,A_Total_S,p_alive,pred_txn_90d,exp_avg_spend,CLV1,CLV2
12,12346.0,9694.5575,12,11,634,400,9694.5575,0.36607020494204756,0.5548601956323127,9852.690187117796,2001.2566123136835,5466.865604728748
6,12347.0,685.6966666666667,6,5,313,275,685.6966666666667,0.9510798655964988,1.3039514059297959,711.5061543425749,882.3828440794106,927.7694502827028
4,12348.0,362.7,4,3,347,190,362.7,0.789164593694488,0.6358176798784869,386.63837887400746,194.00152923664237,245.8315170076508
2,12349.0,1110.57,2,1,498,182,1110.57,0.716742313144396,0.1856681019845617,1352.5509891919658,179.99232551565638,251.12557500061374
1,12350.0,294.4,1,0,219,0,294.4,1.0,0.19436332626476785,-21.005957679394605,-4.082787805944079,-4.082787805944079
1,12351.0,300.93,1,0,284,0,300.93,1.0,0.15688058336463367,-21.005957679394605,-3.295426894876232,-3.295426894876232
6,12352.0,164.21833333333333,6,5,301,130,164.21833333333333,0.4551367510232659,0.6451301854068,170.9829099621458,50.204422055100395,110.30623640527332
2,12353.0,203.38,2,1,317,204,203.38,0.8473671010756985,0.32675531121494755,251.36364231014377,69.59799280847439,82.13440517117378
1,12354.0,1079.4,1,0,141,0,1079.4,1.0,0.27259250356191195,-21.005957679394605,-5.726066593541746,-5.726066593541746
2,12355.0,473.805,2,1,476,353,473.805,0.8673905917176589,0.2340272179087605,579.6174681685821,117.65829278481166,135.64626352681282
5,12356.0,1111.066,5,4,333,179,1111.066,0.7330862069709947,0.7825488098312788,1163.2227060109878,667.3126452235873,910.2785441576181
1,12357.0,11229.99,1,0,297,0,11229.99,1.0,0.15105616736750824,-21.005957679394605,-3.1730794589334264,-3.1730794589334264
4,12358.0,730.9675,4,3,640,581,730.9675,0.9436764643636546,0.4391350997116884,777.8810940499718,322.35505973801054,341.5948917994716
9,12359.0,673.2322222222223,9,8,643,545,673.2322222222223,0.9375505977408889,1.039599743945328,688.8645526359313,671.4206844888208,716.1434125333271
5,12360.0,537.8219999999999,5,4,564,543,537.8219999999999,0.9619443868624798,0.6427764381310767,563.5682657755004,348.4628174529408,362.2484025188841
4,12361.0,112.8125,4,3,591,395,112.8125,0.8611545739111907,0.4311886135621835,121.1610723277231,44.989535045553716,52.243274794698365
4,12362.0,395.5875,4,3,204,175,395.5875,0.9370889032173533,1.1746437850689595,421.57764121822606,464.0497573310058,495.2035561810209
2,12363.0,276.0,2,1,151,133,276.0,0.8959019924921897,0.6265244260883159,339.513010282187,190.57017425922695,212.7131939165637
1,12364.0,578.92,1,0,21,0,578.92,1.0,0.7212871387626719,-21.005957679394605,-15.15132711154031,-15.15132711154031
1,12365.0,320.69,1,0,200,0,320.69,1.0,0.20896374020203604,-21.005957679394605,-4.389483483211978,-4.389483483211978
1,12366.0,500.24,1,0,542,0,500.24,1.0,0.08889081186666907,-21.005957679394605,-1.8672366321582783,-1.8672366321582783
1,12368.0,917.6999999999999,1,0,537,0,917.6999999999999,1.0,0.08964349804595369,-21.005957679394605,-1.883047526186196,-1.883047526186196
3,12369.0,503.71666666666664,3,2,550,228,503.71666666666664,0.6907279778316023,0.2664304838533866,554.4017618406626,102.02710472600688,147.70952965637773
6,12370.0,644.2059999999999,6,5,577,394,644.2059999999999,0.8391680838737222,0.6688517454333085,668.500206972105,375.21515281196656,447.12753025582043
3,12371.0,909.71,3,2,554,236,909.71,0.7027312303226461,0.26927619964725025,999.6116446140991,189.15530705298383,269.1716247848223
2,12372.0,421.46000000000004,2,1,205,84,421.46000000000004,0.7802943260689301,0.43142334717471503,516.0787919568415,173.73131430893426,222.64843983190397
3,12373.0,309.21666666666664,3,2,582,362,309.21666666666664,0.844788279131405,0.3094520878098012,341.1142147558993,89.17458857888802,105.55850593781393
2,12374.0,1023.145,2,1,497,167,1023.145,0.6950688925854416,0.18038075099618517,1246.4306573969247,156.27379740644326,224.83209804592607
1,12375.0,190.3,1,0,7,0,190.3,1.0,0.89499998566995,-21.005957679394605,-18.80033182204175,-18.80033182204175
2,12376.0,191.57500000000002,2,1,326,28,191.57500000000002,0.4414040668599055,0.1661725224618679,237.03421117670987,17.38627621333767,39.38857278099296
4,12377.0,816.58,4,3,498,274,816.58,0.7761863515750732,0.45415750571719543,868.8347268114898,306.2736744898763,394.5878124091871
2,12378.0,2708.16,2,1,471,433,2708.16,0.8986734789562091,0.2447787174381504,3291.776392365424,724.1122697188416,805.7568034163902
3,12379.0,369.2733333333333,3,2,443,364,369.2733333333333,0.91314654026475,0.4281105413778783,406.9719994315837,159.09661130532047,174.22900300229287
5,12380.0,1336.3475,5,4,571,477,1336.3475,0.9330105885776828,0.616457318101217,1398.8833527476495,804.5834350930517,862.3518799712547
1,12381.0,1028.74,1,0,28,0,1028.74,1.0,0.6576809110096514,-21.005957679394605,-13.815217383214428,-13.815217383214428
5,12383.0,325.712,5,4,261,168,325.712,0.8512361134147218,1.1167794088315963,341.68595506950237,324.82134891886113,381.58783890857825
1,12384.0,212.69,1,0,30,0,212.69,1.0,0.6415357809941137,-21.005957679394605,-13.476073465379718,-13.476073465379718
1,12385.0,1668.4,1,0,288,0,1668.4,1.0,0.1550411248090761,-21.005957679394605,-3.2567873063051893,-3.2567873063051893
2,12386.0,330.4,2,1,275,29,330.4,0.5046506514677294,0.21949661430606382,405.5461363862789,44.921984349950506,89.01600388169341
1,12387.0,143.94,1,0,324,0,143.94,1.0,0.14024343824913993,-21.005957679394605,-2.945947728674224,-2.945947728674224
6,12388.0,464.79833333333335,6,5,491,434,464.79833333333335,0.950950667446404,0.8776092811326328,482.5403926236869,402.7104212157586,423.48192708793226
3,12389.0,477.77666666666664,3,2,564,253,477.77666666666664,0.7247966351474825,0.27323502091700524,525.9561116022114,104.16025564987784,143.70962915505697
5,12391.0,578.1325,5,4,571,198,578.1325,0.29963277162288976,0.1979729030636847,605.7359470998801,35.93175340984903,119.91930393739382
1,12392.0,234.75,1,0,500,0,234.75,1.0,0.09563622992388739,-21.005957679394605,-2.0089305983980306,-2.0089305983980306
5,12393.0,375.59,5,4,337,183,375.59,0.7393648563705967,0.7811657600741165,393.8619292969965,227.48145992547109,307.6714533635462
1,12394.0,351.08,1,0,126,0,351.08,1.0,0.29548846724448097,-21.005957679394605,-6.207018237686746,-6.207018237686746
11,12395.0,322.11,11,10,511,490,322.11,0.9787173369816905,1.6506468423045169,328.26311034368763,530.3145307789651,541.8464665338672
1,12396.0,931.43,1,0,583,0,931.43,1.0,0.0831650067812259,-21.005957679394605,-1.7469606128529966,-1.7469606128529966
1,12397.0,1109.81,1,0,44,0,1109.81,1.0,0.5475941961581751,-21.005957679394605,-11.502740509980732,-11.502740509980732
7,12399.0,263.1857142857143,7,6,553,525,263.1857142857143,0.9689783592746752,0.946512807131167,271.7825240246099,249.26545792944117,257.2456397437274
1,12400.0,205.25,1,0,323,0,205.25,1.0,0.14061620620564866,-21.005957679394605,-2.9537780765928807,-2.9537780765928807
1,12401.0,69.3,1,0,212,0,69.3,1.0,0.19949836835619836,-21.005957679394605,-4.190654282798579,-4.190654282798579
6,12402.0,189.48333333333332,6,5,579,347,189.48333333333332,0.7320821482124555,0.5816555402376379,197.17061306762133,83.95911896571182,114.68537946283355
1,12403.0,555.6600000000001,1,0,430,0,555.6600000000001,1.0,0.10948456001154143,-21.005957679394605,-2.299828034149578,-2.299828034149578
1,12405.0,1390.39,1,0,57,0,1390.39,1.0,0.4821765321168619,-21.005957679394605,-10.128579827644055,-10.128579827644055
4,12406.0,1147.8275,4,3,606,514,1147.8275,0.9306157337129798,0.455374280227549,1220.7478641240416,517.3266620019218,555.8971799648033
4,12407.0,310.59,4,3,173,130,310.59,0.9139104027499251,1.3027062007257195,331.27737664649754,394.40451641507553,431.557092717542
7,12408.0,537.7116666666667,7,6,407,400,537.7116666666667,0.9747629443066615,1.2539263533475487,554.6128977303995,677.8927762661251,695.4437283705968
5,12409.0,3710.7399999999993,5,4,474,383,3710.7399999999993,0.9248694947447883,0.7234039583863723,3882.6686265347953,2597.715959472113,2808.7378535378502
